ds,yhat,yhat_lower,yhat_upper
2022-11-10,134.8699951,128.3786355,141.3613548
2022-11-11,146.8699951,140.3591035,153.3808867
2022-11-14,149.6999969,143.1896943,156.2102996
2022-11-15,148.2799988,141.7708869,154.7891107
2022-11-16,150.0399933,143.5320419,156.5479447
2022-11-17,148.7899933,142.2834259,155.2965607
2022-11-18,150.7200012,144.2145007,157.2255017
2022-11-21,151.2899933,144.7860556,157.7939309
2022-11-22,148.0099945,141.5060569,154.5139322
2022-11-23,150.1799927,143.6770128,156.6829725
2022-11-25,151.0700073,144.5685191,157.5714955
2022-11-28,148.1100006,141.6089332,154.611068
2022-11-29,144.2200012,137.7181548,150.7218476
2022-11-30,141.1699982,134.6685775,147.6714189
2022-12-01,148.0299988,141.5232295,154.5367681
2022-12-02,148.3099976,141.8048223,154.8151728
2022-12-05,147.8099976,141.3063892,154.3136059
2022-12-06,146.6300049,140.127796,153.1322137
2022-12-07,142.9100037,136.4073338,149.4126735
2022-12-08,140.9400024,134.4384178,147.4415871
2022-12-09,142.6499939,136.1495834,149.1504044
2022-12-12,142.1600037,135.6611563,148.658851
2022-12-13,144.4900055,137.9919667,150.9880443
2022-12-14,145.4700012,138.9734188,151.9665837
2022-12-15,143.2100067,136.7142778,149.7057356
2022-12-16,136.5,129.9993331,143.0006669
2022-12-19,134.5099945,128.0103489,141.0096401
2022-12-20,132.3699951,125.8712792,138.868711
2022-12-21,132.3000031,125.8028785,138.7971276
2022-12-22,135.4499969,128.9530715,141.9469224
2022-12-23,132.2299957,125.7330703,138.7269212
2022-12-27,131.8600006,125.3646898,138.3553114
2022-12-28,130.0299988,123.535792,136.5242055
2022-12-29,126.0400009,119.5449945,132.5350073
2022-12-30,129.6100006,123.1148047,136.1051965
2023-01-03,129.9299927,123.4363879,136.4235974
2023-01-04,125.0699997,118.5745703,131.5654291
2023-01-05,126.3600006,119.8659155,132.8540858
2023-01-06,125.0199966,118.5272359,131.5127574
2023-01-09,129.6199951,123.1257661,136.1142241
2023-01-10,130.1499939,123.6573061,136.6426817
2023-01-11,130.7299957,124.2388402,137.2211513
2023-01-12,133.4900055,126.9994723,139.9805387
2023-01-13,133.4100037,126.9209084,139.8990989
2023-01-17,134.7599945,128.2722145,141.2477745
2023-01-18,135.9400024,129.4535985,142.4264064
2023-01-19,135.2100067,128.7251014,141.694912
2023-01-20,135.2700043,128.7866726,141.7533359
2023-01-23,137.8699951,131.3872649,144.3527253
2023-01-24,141.1100006,134.6272704,147.5927308
2023-01-25,142.5299988,136.0486137,149.0113839
2023-01-26,141.8600006,135.3801213,148.33988
2023-01-27,143.9600067,137.4810636,150.4389499
2023-01-30,145.9299927,139.4520607,152.4079247
2023-01-31,143,136.522503,149.477497
2023-02-01,144.2899933,137.8137245,150.7662621
2023-02-02,145.4299927,138.9551028,151.9048826
2023-02-03,150.8200073,144.3425185,157.2974962
2023-02-06,154.5,148.0220913,160.9779087
2023-02-07,151.7299957,145.252748,158.2072435
2023-02-08,154.6499939,148.1729951,161.1269927
2023-02-09,151.9199982,145.4435682,158.3964281
2023-02-10,150.8699951,144.3948383,157.345152
2023-02-13,151.0099945,144.5363945,157.4835945
2023-02-14,153.8500061,147.3769336,160.3230786
2023-02-15,153.1999969,146.7283006,159.6716933
2023-02-16,155.3300018,148.8592144,161.8007892
2023-02-17,153.7100067,147.2404003,160.1796131
2023-02-21,152.5500031,146.0817592,159.0182469
2023-02-22,148.4799957,142.0108455,154.949146
2023-02-23,148.9100037,142.4424772,155.3775301
2023-02-24,149.3999939,142.9339852,155.8660026
2023-02-27,146.7100067,140.2446745,153.1753389
2023-02-28,147.9199982,141.4558506,154.3841457
2023-03-01,147.4100037,140.9473679,153.8726395
2023-03-02,145.3099976,138.8482818,151.7717133
2023-03-03,145.9100037,139.4497833,152.370224
2023-03-06,151.0299988,144.5675952,157.4924023
2023-03-07,153.8300018,147.3681601,160.2918436
2023-03-08,151.6000061,145.1388716,158.0611406
2023-03-09,152.8699951,146.410175,159.3298152
2023-03-10,150.5899963,144.1309807,157.049012
2023-03-13,148.5,142.0419059,154.9580941
2023-03-14,150.4700012,144.0128971,156.9271053
2023-03-15,152.5899963,146.1337944,159.0461983
2023-03-16,152.9900055,146.5353195,159.4446915
2023-03-17,155.8500061,149.3958145,162.3041977
2023-03-20,155,148.5471266,161.4528734
2023-03-21,157.3999939,150.9478403,163.8521475
2023-03-22,159.2799988,152.8288794,165.7311181
2023-03-23,157.8300018,151.3801187,164.279885
2023-03-24,158.9299927,152.4814711,165.3785142
2023-03-27,160.25,153.8027638,166.6972362
