ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021. 7. 27 오전 12:00:00,139.190435,143.2453407,154.3214514,139.190435,139.190435,9.571685514,9.571685514,9.571685514,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,7.06776661,7.06776661,7.06776661,0,0,0,148.7621205
2021. 7. 29 오전 12:00:00,139.6777568,143.0874878,153.6867692,139.6777568,139.6777568,8.845394914,8.845394914,8.845394914,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,6.481203177,6.481203177,6.481203177,0,0,0,148.5231518
2021. 7. 30 오전 12:00:00,139.9214178,143.3564316,154.5832658,139.9214178,139.9214178,8.647401604,8.647401604,8.647401604,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,6.155010229,6.155010229,6.155010229,0,0,0,148.5688194
2021. 8. 2 오전 12:00:00,140.6524006,142.9490066,153.7704475,140.6524006,140.6524006,7.613406581,7.613406581,7.613406581,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,5.091860784,5.091860784,5.091860784,0,0,0,148.2658072
2021. 8. 5 오전 12:00:00,141.3833834,142.6904163,153.0532833,141.3833834,141.3833834,6.348651239,6.348651239,6.348651239,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,3.984459502,3.984459502,3.984459502,0,0,0,147.7320346
2021. 8. 6 오전 12:00:00,141.6270443,142.5055578,153.3423484,141.6270443,141.6270443,6.115252522,6.115252522,6.115252522,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,3.622861148,3.622861148,3.622861148,0,0,0,147.7422968
2021. 8. 9 오전 12:00:00,142.3580271,142.0935818,152.9324417,142.3580271,142.3580271,5.12681725,5.12681725,5.12681725,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,2.605271453,2.605271453,2.605271453,0,0,0,147.4848444
2021. 8. 12 오전 12:00:00,143.0890099,141.7386274,152.5996221,143.0890099,143.0890099,4.102778529,4.102778529,4.102778529,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,1.738586792,1.738586792,1.738586792,0,0,0,147.1917884
2021. 8. 16 오전 12:00:00,144.0636536,142.0699817,152.9341597,144.0636536,144.0636536,3.399731137,3.399731137,3.399731137,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,0.8781853398,0.8781853398,0.8781853398,0,0,0,147.4633848
2021. 8. 18 오전 12:00:00,144.5509755,142.0100076,153.2447208,144.5509755,144.5509755,3.08585397,3.08585397,3.08585397,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,0.5745453004,0.5745453004,0.5745453004,0,0,0,147.6368295
2021. 8. 19 오전 12:00:00,144.7946364,142.0064985,152.7446521,144.7946364,144.7946364,2.814803434,2.814803434,2.814803434,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,0.4506116967,0.4506116967,0.4506116967,0,0,0,147.6094399
2021. 8. 23 오전 12:00:00,145.7692802,142.5498897,153.8547177,145.7692802,145.7692802,2.612702987,2.612702987,2.612702987,2.360639145,2.360639145,2.360639145,0.1609066514,0.1609066514,0.1609066514,0.09115719032,0.09115719032,0.09115719032,0,0,0,148.3819832
2021. 8. 25 오전 12:00:00,146.256602,143.2494945,154.0106157,146.256602,146.256602,2.465261359,2.465261359,2.465261359,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-0.04604731057,-0.04604731057,-0.04604731057,0,0,0,148.7218634
2021. 9. 1 오전 12:00:00,147.9622286,144.5423032,155.2300729,147.9622286,147.9622286,1.755253317,1.755253317,1.755253317,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-0.7560553531,-0.7560553531,-0.7560553531,0,0,0,149.7174819
2021. 9. 2 오전 12:00:00,148.2058895,144.2969791,155.0348893,148.2058895,148.2058895,1.43437996,1.43437996,1.43437996,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,-0.9298117768,-0.9298117768,-0.9298117768,0,0,0,149.6402695
2021. 9. 8 오전 12:00:00,149.0113469,143.6534832,154.2946691,149.0113469,149.0113469,-0.05623061838,-0.05623061838,-0.05623061838,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-2.567539288,-2.567539288,-2.567539288,0,0,0,148.9551163
2021. 9. 9 오전 12:00:00,149.1455898,143.0872769,153.9617185,149.1455898,149.1455898,-0.5810260169,-0.5810260169,-0.5810260169,2.360639145,2.360639145,2.360639145,0.003552591737,0.003552591737,0.003552591737,-2.945217754,-2.945217754,-2.945217754,0,0,0,148.5645638
2021. 9. 14 오전 12:00:00,149.8168044,141.4993866,152.6036083,149.8168044,149.8168044,-2.710060674,-2.710060674,-2.710060674,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-5.213979578,-5.213979578,-5.213979578,0,0,0,147.1067437
